시점,행정구역(시군구)별,성별,계,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2021,함안군,계,63026,2825.5,2448.5,2232,3050.5,4948.5,3683.5,2958.5,4732,2648.5,2083.5,1499,500,76.5,8
2021,함안군,여자,30992.5,1198.5,977.5,1045,1532,2423,1864,1815,3380,1790.5,1589.5,1114.5,407,61,7
2021,창녕군,계,60342.5,2390.5,2281.5,2174,2660.5,5525.5,4309.5,3680.5,5745.5,3255,2490.5,1805,591.5,79.5,14.5
2021,창녕군,여자,30302.5,1027.5,951.5,927.5,1252,2809.5,2245,2252,4108,2201.5,1906.5,1336,485,71,14.5
2021,고성군,계,50644.5,2068.5,1715.5,1454,2146.5,4543.5,3671.5,3047.5,4980.5,2668.5,2312,1635,563.5,101,12.5
2021,고성군,여자,25253,852,702.5,633.5,974.5,2318.5,1910,1815.5,3537,1774,1763,1205.5,458.5,87,12
2021,남해군,계,42400.5,1827,1336,1054,1308.5,3879,3555,3058.5,5805.5,2995,2810.5,1923,708,169,10.5
2021,남해군,여자,21924.5,695,520.5,492.5,634.5,2024,1864.5,1835,4154.5,1988,2166.5,1438,569.5,149.5,9.5
2021,하동군,계,43882.5,1801,1439.5,1225,1398.5,4050.5,3328,2982,5220.5,2788,2432.5,1659.5,636,122.5,14.5
2021,하동군,여자,21950,720.5,586.5,514,650.5,1996,1757.5,1791.5,3706,1862.5,1843.5,1228,494,109,12.5
2021,산청군,계,34377.5,1295.5,1059,915,1094.5,3430.5,2705.5,2496.5,4300.5,2340.5,1960,1381,465,102,12
